trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
279,False,"{'a': 0.5, 'e': 0.16299999999999926}",20,0,-157.68770996280566,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
280,False,"{'a': 0.5, 'e': 0.15999999999999925}",35,0,-156.95865306118372,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 3}",0
281,False,"{'a': 0.5, 'e': 0.15699999999999925}",30,0,-185.48237861288305,"{0: 13, 1: 7, 2: 7, 3: 1, 4: 2}",0
282,False,"{'a': 0.5, 'e': 0.15399999999999925}",20,1,-186.4731195171934,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 3}",1
283,False,"{'a': 0.5, 'e': 0.15099999999999925}",20,0,-68.20411155433538,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
284,False,"{'a': 0.5, 'e': 0.14799999999999924}",25,2,-135.14404915749316,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 2}",1
285,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,0,-129.2653775246998,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
286,False,"{'a': 0.5, 'e': 0.14199999999999924}",20,0,-156.00961456737556,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
287,False,"{'a': 0.5, 'e': 0.13899999999999924}",20,11,-69.52400864532294,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
288,False,"{'a': 0.5, 'e': 0.13599999999999923}",20,0,-127.15553708531628,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
289,False,"{'a': 0.5, 'e': 0.13299999999999923}",20,12,-39.442039133663975,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,0,-71.31349179539407,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.12699999999999922}",20,0,-78.7931717305696,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.12399999999999922}",30,0,-131.91314467055994,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
293,False,"{'a': 0.5, 'e': 0.12099999999999922}",30,0,-155.1064507042939,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
294,False,"{'a': 0.5, 'e': 0.11799999999999922}",20,0,-117.2737813863583,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
295,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,0,-181.59250652226072,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
296,False,"{'a': 0.5, 'e': 0.11199999999999921}",25,0,-165.83770477233256,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
297,False,"{'a': 0.5, 'e': 0.10899999999999921}",25,0,-55.61421334214769,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
298,False,"{'a': 0.5, 'e': 0.1059999999999992}",20,0,-92.33800115362419,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
299,False,"{'a': 0.5, 'e': 0.1029999999999992}",20,0,-90.49414119264044,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
300,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,0,-118.24987168938507,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
301,False,"{'a': 0.5, 'e': 0.0969999999999992}",25,0,-160.03029183845456,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
302,False,"{'a': 0.5, 'e': 0.0939999999999992}",25,0,-105.12433731831361,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.09099999999999919}",20,0,-40.67557775385555,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
